Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
10/18/2020,10/19/2020,Hunts Point,HP,2565.00,1500000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,755948,RT-qPCR
10/18/2020,10/19/2020,Jamaica Bay,JA,1313.00,519000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,748737,RT-qPCR
10/18/2020,10/19/2020,Newtown Creek,NC,6101.00,3350000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1156473,RT-qPCR
10/18/2020,10/19/2020,North River,NR,1479.00,765000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,658596,RT-qPCR
10/18/2020,10/19/2020,Oakwood Beach,OB,1793.00,748000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,258731,RT-qPCR
10/18/2020,10/19/2020,Owls Head,OH,7750.00,2820000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,906442,RT-qPCR
10/18/2020,10/19/2020,Port Richmond,PR,1229.00,514000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,226167,RT-qPCR
10/18/2020,10/19/2020,Red Hook,RH,1850.00,657000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,224029,RT-qPCR
10/18/2020,10/19/2020,Rockaway,RK,262.00,181000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,120539,RT-qPCR
10/18/2020,10/19/2020,Tallman Island,TI,608.00,327000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,449907,RT-qPCR
10/18/2020,10/19/2020,Wards Island,WI,444.00,244000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1201485,RT-qPCR
10/20/2020,10/21/2020,26th Ward,26W,1754.00,1670000.00,,290608,RT-qPCR
10/20/2020,10/21/2020,Bowery Bay,BB,4378.00,1580000.00,,924695,RT-qPCR
10/20/2020,10/21/2020,Coney Island,CI,2453.00,1090000.00,,682342,RT-qPCR
10/20/2020,10/21/2020,Hunts Point,HP,2303.00,1280000.00,,755948,RT-qPCR
10/20/2020,10/21/2020,Jamaica Bay,JA,3808.00,1420000.00,,748737,RT-qPCR
10/20/2020,10/21/2020,Newtown Creek,NC,5293.00,2980000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473,RT-qPCR
10/20/2020,10/21/2020,North River,NR,1789.00,946000.00,,658596,RT-qPCR
10/20/2020,10/21/2020,Oakwood Beach,OB,4795.00,1830000.00,,258731,RT-qPCR
10/20/2020,10/21/2020,Owls Head,OH,18230.00,6390000.00,,906442,RT-qPCR
10/20/2020,10/21/2020,Port Richmond,PR,3789.00,1520000.00,,226167,RT-qPCR
10/20/2020,10/21/2020,Red Hook,RH,1984.00,704000.00,,224029,RT-qPCR
10/20/2020,10/21/2020,Rockaway,RK,2720.00,1880000.00,,120539,RT-qPCR
10/20/2020,10/21/2020,Tallman Island,TI,2226.00,1100000.00,,449907,RT-qPCR
10/20/2020,10/21/2020,Wards Island,WI,3026.00,1650000.00,,1201485,RT-qPCR
10/25/2020,10/26/2020,26th Ward,26W,1652.00,990000.00,,290608,RT-qPCR
10/25/2020,10/26/2020,Bowery Bay,BB,2430.00,856000.00,,924695,RT-qPCR
10/25/2020,10/26/2020,Coney Island,CI,2615.00,1100000.00,,682342,RT-qPCR
10/25/2020,10/26/2020,Hunts Point,HP,2678.00,1460000.00,,755948,RT-qPCR
